percentile,seconds,minutes
p1,0.0,0.0
p5,0.0,0.0
p10,0.0,0.0
p25,2.0,0.03
p50,11.0,0.18
p75,72.0,1.2
p90,596.7,9.95
p95,7197.0,119.95
p99,56570.0,942.83
