transitions,num_prefixes,pct_prefixes,avg_churn_ratio,pct_pingpong
1,7,8.9,0.0,0.0
2,11,13.9,0.0,0.0
3–5,35,44.3,0.48,100.0
6–10,5,6.3,0.774,100.0
11–50,14,17.7,0.8984,100.0
51+,7,8.9,0.9909,100.0
