percentile,seconds,minutes,hours
p1,0.0,0.0,0.0
p5,0.0,0.0,0.0
p10,0.0,0.0,0.0
p25,0.0,0.0,0.0
p50,1.0,0.02,0.0003
p75,231.8,3.86,0.0644
p90,58275.3,971.26,16.1876
p95,106033.9,1767.23,29.4538
p99,125987.0,2099.78,34.9964
