percentile,seconds,minutes,hours
p1,0.0,0.0,0.0
p5,0.0,0.0,0.0
p10,1.0,0.02,0.0003
p25,3.0,0.05,0.0008
p50,14.0,0.23,0.0039
p75,156.8,2.61,0.0435
p90,297.0,4.95,0.0825
p95,717.6,11.96,0.1993
p99,15456.7,257.61,4.2935
